HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD001164	checked with photo	Dacia	Romania	Germisara	Rapoltu Mare	Castel Sándor Ernő	208 AD	AE 1982, 0833.  I. Piso, ActaMusNapoca 16, 1979, 82-86, Nr. 3; fig. 5 u. 7; fig. 6 u. 8 (Zeichnungen). - AE 1982.  AE 1971, 0385. (B)  I.I. Russu, StCercIstorV 19, 1968, 667-675; fig. 1a; fig. 1b (Zeichnung). (B) - AE 1971.  AE 2010, 1377.  R. Ardevan, ACD 46, 2010, 125-126. - AE 2010.  IDR 3, 3, 213; fig. 165 (Foto u. Zeichnung).  PIR (2. Aufl.) I 419.	[Imp(erator) Caes(ar) L(ucius) Sept(imius) Severus Pert(inax) Aug(ustus) --- trib(unicia) pot(estate) XVI imp(erator) XI ---] / et Imp(erator) Caes(ar) M(arcus) Au[r(elius) Ant(oninus) Aug(ustus) ---] / trib(unicia) pot(estate) [X]I imp(erator) II [[--- et P(ublius) Sept(imius)]] / [[Geta nobiliss(imus)]] C[[aes(ar) ---]] / a solo restitu[er(unt) cura C(ai) Iul(i)] / Maximini pr(a)es(idis) [Daciar(um) III instante?] / T(ito) Fab(io) Aquileiens[i trib(uno) n(umeri) p(editum) s(ingularium) B(ritannicorum)?]	16	https://godot.date/id/uJ9jRC8L8YKv7chBwhDVPL
HD001264	checked with photo	Roma	Italy	Roma	Roma		48 AD	AE 1982, 0065.  S. Panciera, in: I Volusii Saturnini. Archeologia: materiali e problemi 6 (Bari 1982) 90-95; fig. 2. - AE 1982.  P. Virgili, BCAR 85, 1976/77, 7-9. (B) - AE 1982.  CIL 06, 40887; Foto.	Imp(erator) [Caesar Divi f(ilius)] / Aug(ustus) [co(n)]s(ul) VI[I a]d[tribuit] / Ti(berius) Claud(ius) Caesar Au[g(ustus)] / Germ(anicus) pontif(ex) max(imus) trib(unicia) / po[t]est(ate) VIII imp(erator) XV p(ater) p(atriae) / L(ucius) Vitellius censores / cognita causa ad/tributionem divi / Aug(usti) pertinentem ad / insulam Volusianam / con[fi]rmaverunt	8	https://godot.date/id/zJu3qWwaV2WvVAEGmhVECH
HD001387	checked with photo	Roma	Italy	Roma	Roma		95 AD	AE 1982, 0084. (B)  E. Leone - A. Licordari, BCAR 87, 1980/81, 84-85, Nr. 1; tav. 23.1. - AE 1982.  CIL 06, 40458; Foto.	[I]mp(eratori) Caesa[ri] / divi / Vespasiani f(ilio) / [D]omitiano Aug(usto) / [Ge]rmanico pont(ifici) / [m]ax(imo) trib(unicia) pot(estate) XIV imp(eratori) XXI[I] / [c]o(n)s(uli) XVII cens(ori) perp[et(uo)] / [---] lib(ertus) pecu[nia ---] [&?	14	https://godot.date/id/wXBjfXqcAcxxieY3M7AyEb
HD001499	provisional	Syria	Turkey	Antiochia ad Orontem, bei	Küçük Dalyan Köyü	Hippodrom eski Sirk Civari	75 AD	AE 1983, 0927. (ABC)  D. van Berchem, MH 40, 1983, 185-196; pl. 1. (AB) - AE 1983.  D. van Berchem, BJ 185, 1985, 85-87. (C) - AE 1983.	Imp(erator) / Vespasianus Caesar / Augustus pontif(ex) max(imus) / trib(unicia) pot(estate) VI imp(erator) XII p(ater) p(atriae) co(n)s(ul) VI / desig(natus) VII censor / Imp(erator) Titus Caesar Augusti f(ilius) / pontif(ex) max(imus) trib(unicia) pot(estate) IV / [co(n)s(ul) II]II desig(natus) V censor / [[Domitianus]] Caesar / Augusti f(ilius) co(n)s(ul) III / M(arco) Ulpio Traiano leg(ato) / Aug(usti) pro pr(aetore) Dipotamiae / fluminis ductum millia(!) / passus tria cum pontibus / [pe]r milites legionum IIII / [III Gal]l(icae) IV Scyt(hicae) VI ferr(atae) XVI Flaviae / [ite]m cohortium XX / [item?] Antiochensium / [facien]da(?) curaverunt / m(ille) p(assus) I	6	https://godot.date/id/tKF6gqMHJv9YTtMnfxNnLB
HD001663	checked with photo	Pannonia superior	Hungary	Cirpi	Dunabogdány	Lager, sekundär verwendet	80 AD	AE 1982, 0801.  E. Tóth, Alba Regia 18, 1980, 31-38; Abb. 1 u. 4; Abb. 2-3 u. 5 (Zeichnungen). - AE 1982.  AE 1979, 0466.  E. Tóth, AntTan 25, 1978, 181-191; Zeichnungen. - AE 1979.  AE 1965, 0167. (B)  S. Soproni, FolA 16, 1964, 33-42; fig. 9; fig. 10 (Zeichnung). - AE 1965.  RIU 0826; Abb. 826 (Foto u. Zeichnung).  PIR (2. Aufl.) A 1304.	[Imp(eratori) Tito Caes(ari) divi Vespasiani f(ilio)] / [Vespasiano Aug(usto) pont(ifici) max(imo) trib(unicia)] / [pot(estate) VIIII imp(eratori) XV p(atri) p(atriae) co(n)s(uli) VIII Caesari] / [divi Vesp(asiani) f(ilio) Domitiano co(n)s(uli) VI] / T(ito) Atilio [Rufo legato Aug(usti) pr(o) pr(aetore)] / coh(ors) XIIX [vol(untariorum) ---]	9	https://godot.date/id/sLyAFvSedRpKEHCevN3y3E
HD001991	provisional	Mesopotamia	Turkey		Eski Hisar	Röm. Lager	197 AD	AE 1984, 0918.  J. Wagner, in: St. Mitchell (Hg.), Armies and Frontiers in Roman and Byzantine Anatolia (Oxford 1983) 112-113; pl. 8,5a; fig. 8,3a (Zeichnung). - AE.	[Imp(eratori) L(ucio) Septimio Se]vero Pio Pertinaci / [Aug(usto) Arab(ico) Adiab(enico) p]ont(ifici) max(imo) trib(unicia) pot(estate) V / [imp(eratori) X co(n)s(uli) II vex]ill(atio) leg(ionis) IIII Scyth(icae) / [sub ---]no castellum fec(it)	5	https://godot.date/id/Wc9oG8va8y5w9SwRtxnHhE
HD001994	provisional	Mesopotamia	Turkey	Zeugma - Edessa, inter	Kizilburç, bei	Röm. Straße, bei	195 AD	AE 1984, 0919.  J. Wagner, in: St. Mitchell (Hg.), Armies and Frontiers in Roman and Byzantine Anatolia (Oxford 1983) 113-114; pl. 8,5b; fig. 8,3b (Zeichnung). - AE.	Ex auctoritate Imp(eratoris) Caes(aris) / L(uci) Septimi Severi Pii Per/tinacis Aug(usti) Arab(ici) Adiab(enici) / pontif(icis) max(imi) trib(unicia) pot(estate) III / imp(eratoris) VII co(n)s(ulis) II p(atris) p(atriae) C(aius) Iul(ius) / Pacatianus proc(urator) Aug(usti) inter / provinciam Osrhoenam et / regnum Abgari fines posuit	3	https://godot.date/id/2rhBeUsYWoivTxG6TvoxXe
HD002045	provisional	unknown	unknown				88 AD	AE 1984, 0953. (B)  R. Mellor, GettyMusJ 6/7, 1978/79, 173-184; fig. 1-4. (B) - AE 1984.  RMD 003. - AE 1984.  AE 1974, 0655. (B)  R. Mellor - E. Harris, ZPE 16, 1975, 121-123. (B) - AE 1974.	Imp(erator) Caesar divi Vespasiani f(ilius) Domitianu[s] / Augustus Germanicus pontifex maximus / tribunic(ia) potestat(e) VIII imp(erator) XVII co(n)s(ul) XIIII / censor perpetuus p(ater) p(atriae) / equitibus et peditibus qui militant in alis / quinque et cohortibus duabus q[ua]e appel/lantur praetoria singularium Gallo/rum et Thracum constantium Phrygum / Sebastena Gallorum et Thracum Antia/na I <G>aetulorum I Augusta Thracum / et sunt in Syria sub P(ublio) Valerio Patruino / item dimissis honesta missione ex / iisdem alis et cohortibus qui quina et vi/cena stipendia aut plura meruerant / quorum nomina subscripta sunt / ipsis liberis posterisque eorum civi/tatem dedit et conubium cum uxoribus / quas tunc habuissent cum est civitas / iis data aut siqui caelibes essent cum / iis quas postea duxissent dum/taxat singuli singulas / a(nte) d(iem) VII Idus Novembr(es) / M(anio) Otacilio Catulo / Sex(to) Iulio Spar[so] co(n)s(ulibus) / alae Phrygum cui prae(e)st / M(arcus) Helenius Priscus / gregali / Dassio Dasentis f(ilio) Pannon(io) / descriptum et recognitum ex tabula / aenea quae fixa est Romae in Capitolio / in latere sinistro tabulari publici // Imp(erator) Caesar divi Vespasiani f(ilius) Domitianus / Augustus Germanicus pontifex maximus / tribunic(ia) potestat(e) VIII imp(erator) XVII co(n)s(ul) XIIII / censor perpetuus p(ater) p(atriae) / equitibus et peditibus qui militant in alis / quinque et cohortibus duabus quae appel/lantur praetoria singularium Gallo/rum et Thracum constantium Phrygum / Sebastena Gallorum et Thracum Antia/na I Gaetulorum I Augusta Thracum et / sunt in Syria sub P(ublio) Valerio Patruino / item dimissis honesta missione ex / iisdem alis et cohortibus qui quina et / vicena stipendia aut plura meruerant / quorum nomina subscripta sunt // ipsis liberis posterisque eorum civita/tem dedit et conubium cum uxoribus / quas tunc habuissent cum est civitas / iis data aut siqui caelibes essent cum / iis quas postea duxissent dumtaxat / singuli singulas / a(nte) d(iem) VII Idus Novembr(es) / M(anio) Otacilio Catulo Sex(to) Iulio Sparso co(n)s(ulibus) / alae Phrygum cui prae(e)st / M(arcus) Helenius Priscus / gregali / Dassio Dasentis f(ilio) Pannon(io) / descriptum et recognitum ex tabula aenea / quae fixa est Romae in Capitolio // Q(uinti) Muci Augustalis / M(arci) Calpurni Iusti / C(ai) Lucreti Modesti / C(ai) Claudi Sementivi / C(ai) Pompei Eutrapeli / C(ai) Iuli Heleni / L(uci) Pulli Verecundi	8	https://godot.date/id/kK8bGREtme3Wjz5bhaJ57P
HD002360	checked with photo	Raetia	Germany	Castra Regina	Regensburg	Dominikanerkirche, bei	153 AD	AE 1985, 0701.  H.-J. Kellner, BVBl 50, 1985, 243-244; Taf. 23, 3. - AE 1985.  CIL 16, 00101. (B)	[quorum] nomin(a) subscri[pta sunt civitatem] / [Roma]n(am) qui eor(um) non hab[erent dedit et] / [conu]b(ium) cum uxor(ibus) quas tu[nc habuissent] / [cum est] civit(as) is dat(a) aut cum is qu[as postea] / [du]xis(sent) dumtax(at) sing(ulis) a(nte) d(iem) [---] / [C(aio)] Bruttio Praes[ente] / A(ulo) Iunio Rufin[o co(n)s(ulibus)] / alae II Fl(aviae) M(miliariae) p(iae) f(idelis) cui pr[ae(e)st] / Ti(berius) Claudius Rufu[s ---] / ex gregal[e] / Secundo Sabini f(ilio) [---] / et Secundae Bori fil(iae) uxo[r(i) ei(us) ---] / descript(um) et recognit(um) ex [tabula aerea] / quae fixa est Romae in [muro post] / templ(um) divi Aug(usti) ad Min[ervam] // [Imp(erator) Caesar divi Hadriani f(ilius) divi] Traiani / [Parthici nep(os) divi Nervae] pr(onepos) T(itus) Aelius / [Hadrianus Antoni]nus Aug(ustus) Pius pont(ifex) / [max(imus) trib(unicia) pot(estate) XVI] imp(erator) II co(n)s(ul) IIII p(ater) p(atriae) / [equitibus et peditibus qui militaverunt] in al(is) IV et coh(ortibus) XIV / [et sunt in Raetia s]ub Ulpio Victore / [proc(uratore) quinque? et viginti? stipendis emeritis] dim(issis) hon(esta) mis(sione)	16	https://godot.date/id/vA9QJY4NkASEsXvYABuhQZ
HD002390	provisional	Numidia	Algeria	Thamugadi	Timgad	Osttor, sek. als Plattenbelag verwendet	121 AD	AE 1985, 0873.  M. Le Glay - S. Tourrenc, AntAfr 21, 1985, 103-108, Nr. 1; Foto. - AE.	Imp(eratore) Caes(are) divi Traiani / Parthici fil(io) divi Nervae / nepote Traiano Hadriano / Aug(usto) pont(ifice) max(imo) trib(unicia) pot(estate) V co(n)s(ule) III p(atre) p(atriae) / P(ublius) Metilius Secundus leg(atus) Aug(usti) pro pr(aetore) / patronus coloniae dedicavit / d(ecreto) d(ecurionum) p(ecunia) p(ublica)	5	https://godot.date/id/avVCFmfQmGapo9u5bmAdr6
HD002405	provisional	Raetia	Germany		Ehingen	Dambach, bei, {Hammerschmiede, Kastell}	112 AD	AE 1985, 0700.  H.-J. Kellner, BVBl 50, 1985, 239-243; Taf. 23,1-2. - AE.	[Imp(erator) Caesar divi Ne]rvae f(ilius) Nerva [Traianus Aug(ustus)] / [Ger(manicus) Dac(icus) pont(ifex) ma]xim(us) tribun[ic(ia) potest(ate) XVI] / imp(erator) VI co(n)s(ul) VI p(ater) p(atriae) [---] / [equit(ibus) et pedit(ibus) qui] militav[erunt in alis ---] / [et coh(ortibus) decem et] duab(us) quae a[ppellant(ur) ---] / [et I Cil]ic(um) sagitt(ariorum) et I[---] / [et I Braca]raug(ustanorum) et II M[attiacorum] et [---] / [---] III Br[& // $ quorum nomina subscripta] / sunt ipsis liberis po[sterisque eorum civita]/tem dedit et conub[ium cum uxoribus quas] / tunc habuissent cu[m est civitas iis data aut] / siqui caelibes essen[t cum iis quas postea du]/xissent dumtaxat si[nguli singulas] / a(nte) d(iem) V K(alendas) Oct(obres) T(ito) Iulio [Maximo] / P(ublio) Stertinio Quart[o co(n)s(ulibus)] / co[hortis] IX Batavo[rum cui praeest &	16	https://godot.date/id/98NikVkPL7mBA5pVJBNXqK
HD002480	checked with photo	Dacia	Romania	Micia	Veţel	{Lager}	139 AD	AE 1983, 0846.  ILD 307. (B)  L. Petculescu, Potaissa 3, 1982, 84-85, Nr. 1; fig. 1. - AE 1983.	[Imp(eratori) Caes(ari) divi] / [Had(riani) fil(io) divi] / [Trai(ani) nep(oti) divi] / [Ner(vae)] pronep(oti) / Had(riano) Antonin/o Aug(usto) Pio / [t]ri(bunicia) pot(estate) III co(n)s(uli) / [I]I p(atri) p(atriae) coh(ors) II Fl(avia) Com(magenorum)	3	https://godot.date/id/RerSbThPiSDRT9sZTMb7ZB
